x,y
155560.894611757,508635.243584527
155561.277102844,508632.244673515
155560.878125852,508629.245762504
155560.841439905,508626.246851491
155559.660654333,508623.24794048
155559.035487231,508620.523243285
155558.9538451,508620.249029467
155559.035487231,508619.985362313
155560.129998906,508617.250118456
155561.855060001,508614.251207444
155561.457873729,508611.252296431
155561.621392899,508608.25338542
155561.9627415,508605.254474407
155561.80693409,508602.255563396
155559.035487231,508599.658313644
155558.714036771,508599.256652384
155556.035442376,508597.235835536
155553.035397522,508596.297092825
155551.244369458,508599.256652384
155550.035352667,508600.171543552
155547.035307812,508599.454243687
155546.5673638,508599.256652384
155544.035262957,508597.580624571
155543.041046081,508596.257741372
155541.629692555,508593.25883036
155541.035218103,508592.561037021
155538.925062707,508590.259919348
155538.035173248,508588.28921666
155537.554174764,508587.261008336
155538.035173248,508585.033223207
155541.035218103,508584.727077163
155544.035262957,508585.937441786
155547.035307812,508586.970928183
155550.035352667,508585.636747481
155551.042642674,508584.262097324
155553.035397522,508582.105240327
155556.035442376,508582.603453564
155559.035487231,508581.482043503
155559.350213352,508581.263186312
155562.035532086,508579.242063435
155565.035576941,508579.542125043
155566.818778527,508581.263186312
155568.035621796,508582.776907852
155571.03566665,508583.707096323
155573.659391231,508581.263186312
155574.035711505,508580.840630125
155576.975476656,508578.2642753
155577.03575636,508578.210713594
155579.115612872,508575.265364288
155580.035801215,508574.222878327
155581.416083729,508575.265364288
155582.784616805,508578.2642753
155583.035846069,508578.712453538
155583.823483839,508578.2642753
155586.035890924,508576.445872804
155586.795076229,508575.265364288
155586.781214154,508572.266453276
155586.035890924,508571.607377943
155585.140909808,508569.267542264
155586.035890924,508567.239684287
155587.999074996,508569.267542264
155589.035935779,508570.415061192
155592.035980634,508571.091753542
155594.020960988,508569.267542264
155593.877269759,508566.268631252
155592.035980634,508565.444940434
155589.035935779,508566.003089622
155586.035890924,508565.88532093
155583.035846069,508564.268016521
155580.540018528,508566.268631252
155580.035801215,508567.092521098
155579.309386543,508566.268631252
155577.03575636,508564.613156074
155575.458083321,508563.26972024
155574.035711505,508562.991797917
155572.42679903,508563.26972024
155571.03566665,508564.870229857
155569.974927996,508563.26972024
155568.035621796,508562.548390684
155565.035576941,508562.772907668
155564.385653325,508563.26972024
155562.035532086,508565.543977415
155560.017975415,508563.26972024
155559.035487231,508562.100007927
155556.074392088,508560.270809228
155556.035442376,508560.252348673
155553.035397522,508559.983636992
155552.843172862,508560.270809228
155550.035352667,508562.160508327
155547.035307812,508562.154989869
155544.035262957,508563.033751457
155541.035218103,508562.453693981
155538.035173248,508562.667901874
155535.035128393,508563.163747291
155533.692296267,508563.26972024
155534.743208476,508566.268631252
155532.035083538,508569.098782532
155529.576391396,508566.268631252
155529.035038683,508565.645490986
155526.463614872,508566.268631252
155526.034993829,508566.513465076
155523.892122963,508569.267542264
155523.034948974,508569.450066491
155522.441520757,508569.267542264
155520.034904119,508568.427966801
155517.034859264,508568.066415896
155514.034814409,508567.930215418
155511.034769555,508568.271349072
155508.0347247,508568.436791029
155505.034679845,508568.793633865
155502.89180433,508569.267542264
155502.03463499,508569.510964288
155499.034590136,508571.922620271
155498.123869908,508572.266453276
155496.034545281,508573.058656206
155493.034500426,508573.297827923
155490.034455571,508574.208030468
155487.034410716,508574.59757769
155484.083200057,508575.265364288
155484.034365862,508575.288879182
155481.034321007,508576.885589986
155478.034276152,508577.318407395
155475.867745938,508578.2642753
155475.034231297,508578.767666718
155472.034186443,508580.108020943
155469.034141588,508581.062840828
155468.436394098,508581.263186312
155466.034096733,508582.262304574
155463.034051878,508583.899035297
155462.807052316,508584.262097324
155460.958969618,508587.261008336
155460.034007023,508588.485298171
155457.033962169,508589.406150277
155455.024334082,508590.259919348
155454.033917314,508590.778928345
155451.033872459,508593.104464568
155450.839266511,508593.25883036
155448.033827604,508595.803544257
155447.337773237,508596.257741372
155445.03378275,508597.8896003
155443.194956935,508599.256652384
155442.033737895,508600.441448499
155440.084507412,508602.255563396
155439.03369304,508603.329853847
155436.330012254,508605.254474407
155436.033648185,508605.620891382
155433.03360333,508607.745411347
155432.445642543,508608.25338542
155430.033558476,508609.805257253
155428.608709115,508611.252296431
155427.033513621,508612.818695411
155424.033468766,508613.584159428
155421.033423911,508614.09583363
155420.843153022,508614.251207444
155418.082916644,508617.250118456
155418.033379056,508617.340524449
155416.210695555,508620.249029467
155415.033334202,508622.045375561
155412.033289347,508622.946304281
155411.728428275,508623.24794048
155409.084044057,508626.246851491
155409.033244492,508626.312140526
155407.302082695,508629.245762504
155406.033199637,508630.674723435
155404.247977517,508632.244673515
155403.033154783,508633.441812131
155401.695544397,508635.243584527
155400.033109928,508637.749482815
155399.726986341,508638.242495539
155398.218874449,508641.241406551
155397.033065073,508643.163883465
155396.190011933,508644.240317563
155394.033020218,508646.113110673
155393.066622441,508647.239228575
155391.032975363,508649.530428829
155390.317086671,508650.238139587
155388.032930509,508652.447379626
155387.431513368,508653.237050599
155385.989924511,508656.235961611
155386.834329222,508659.234872623
155385.032885654,508662.036059135
155384.905728988,508662.233783635
155382.05856014,508665.232694647
155382.032840799,508665.252780288
155379.032795944,508667.141262665
155377.605009589,508668.231605659
155376.03275109,508669.616537567
155375.250623898,508671.230516671
155373.861760677,508674.229427683
155373.032706235,508675.733987245
155371.637450868,508677.228338695
155370.03266138,508679.320751558
155369.119201232,508680.227249707
155367.032616525,508682.211652841
155365.863461527,508683.226160719
155364.03257167,508685.148637633
155363.160843247,508686.225071731
155361.032526816,508688.443116055
155360.137048536,508689.223982743
155358.032481961,508691.534374287
155357.405300363,508692.222893755
155355.032437106,508693.94923626
155352.471182629,508695.221804767
155352.032392251,508695.590249349
155350.729688656,508698.220715779
155349.332108044,508701.219626791
155349.032347396,508701.754049494
155346.404371859,508704.218537803
155346.032302542,508704.455219639
155343.032257687,508706.924326151
155342.825055512,508707.217448815
155341.404850067,508710.216359827
155340.053645618,508713.215270839
155340.032212832,508713.247952555
155337.9603345,508716.214181851
155337.032167977,508717.194187233
155334.33927636,508719.213092863
155334.032123123,508719.468957169
155331.032078268,508721.918172526
155330.428389977,508722.212003875
