tide,dates
-0.10959722,2019-03-30 00:00:00+00:00
-0.099625,2019-03-30 01:15:00+00:00
-0.095694445,2019-03-30 01:30:00+00:00
-0.09544444,2019-03-30 01:45:00+00:00
-0.09743056,2019-03-30 02:00:00+00:00
-0.102527775,2019-03-30 02:15:00+00:00
-0.101958334,2019-03-30 02:30:00+00:00
-0.096944444,2019-03-30 02:45:00+00:00
-0.093375,2019-03-30 03:00:00+00:00
-0.093625,2019-03-30 03:15:00+00:00
-0.093,2019-03-30 03:30:00+00:00
-0.09319445,2019-03-30 03:45:00+00:00
-0.093097225,2019-03-30 04:00:00+00:00
-0.093,2019-03-30 04:15:00+00:00
-0.093,2019-03-30 04:30:00+00:00
-0.093,2019-03-30 04:45:00+00:00
-0.093,2019-03-30 05:00:00+00:00
-0.09313889,2019-03-30 05:15:00+00:00
-0.09375,2019-03-30 05:30:00+00:00
-0.09325,2019-03-30 05:45:00+00:00
-0.093833335,2019-03-30 06:00:00+00:00
-0.098569445,2019-03-30 06:15:00+00:00
-0.103652775,2019-03-30 06:30:00+00:00
-0.1085,2019-03-30 06:45:00+00:00
-0.10955556,2019-03-30 07:00:00+00:00
-0.11105555,2019-03-30 07:15:00+00:00
-0.10777083,2019-03-30 07:30:00+00:00
-0.108208336,2019-03-30 07:45:00+00:00
-0.10961111,2019-03-30 08:00:00+00:00
-0.10977778,2019-03-30 08:15:00+00:00
-0.111,2019-03-30 08:30:00+00:00
-0.11040278,2019-03-30 08:45:00+00:00
-0.109916665,2019-03-30 09:00:00+00:00
-0.10965278,2019-03-30 09:15:00+00:00
-0.10876389,2019-03-30 09:30:00+00:00
-0.10944445,2019-03-30 09:45:00+00:00
-0.10508333,2019-03-30 10:00:00+00:00
-0.10502778,2019-03-30 10:15:00+00:00
-0.10531945,2019-03-30 10:30:00+00:00
-0.10240278,2019-03-30 10:45:00+00:00
-0.10625,2019-03-30 11:00:00+00:00
-0.10831945,2019-03-30 11:15:00+00:00
-0.104319446,2019-03-30 11:30:00+00:00
-0.107208334,2019-03-30 11:45:00+00:00
-0.10290278,2019-03-30 12:00:00+00:00
-0.103819445,2019-03-30 12:15:00+00:00
-0.103819445,2019-03-30 12:30:00+00:00
-0.10320833,2019-03-30 12:45:00+00:00
-0.11005556,2019-03-30 13:00:00+00:00
-0.10523611,2019-03-30 13:15:00+00:00
-0.099194445,2019-03-30 13:30:00+00:00
-0.104375,2019-03-30 13:45:00+00:00
-0.10090278,2019-03-30 14:00:00+00:00
-0.102638885,2019-03-30 14:15:00+00:00
-0.106416665,2019-03-30 14:30:00+00:00
-0.106,2019-03-30 14:45:00+00:00
-0.102,2019-03-30 15:00:00+00:00
-0.099194445,2019-03-30 15:15:00+00:00
-0.1055,2019-03-30 15:30:00+00:00
-0.10758334,2019-03-30 15:45:00+00:00
-0.10666667,2019-03-30 16:00:00+00:00
-0.11176389,2019-03-30 16:15:00+00:00
-0.10702778,2019-03-30 16:30:00+00:00
-0.10905556,2019-03-30 16:45:00+00:00
-0.11077778,2019-03-30 17:00:00+00:00
-0.107083336,2019-03-30 17:15:00+00:00
-0.10761111,2019-03-30 17:30:00+00:00
-0.110527776,2019-03-30 17:45:00+00:00
-0.107194446,2019-03-30 18:00:00+00:00
-0.10779167,2019-03-30 18:15:00+00:00
-0.10948611,2019-03-30 18:30:00+00:00
-0.110138886,2019-03-30 18:45:00+00:00
-0.11102778,2019-03-30 19:00:00+00:00
-0.11238889,2019-03-30 19:15:00+00:00
-0.11102778,2019-03-30 19:30:00+00:00
-0.10486111,2019-03-30 19:45:00+00:00
-0.10772222,2019-03-30 20:00:00+00:00
-0.10408334,2019-03-30 20:15:00+00:00
-0.10583334,2019-03-30 20:30:00+00:00
-0.10699306,2019-03-30 20:45:00+00:00
-0.10902778,2019-03-30 21:00:00+00:00
-0.10698611,2019-03-30 21:15:00+00:00
-0.10643055,2019-03-30 21:30:00+00:00
-0.10904167,2019-03-30 21:45:00+00:00
-0.11119445,2019-03-30 22:00:00+00:00
-0.11026389,2019-03-30 22:15:00+00:00
-0.108833335,2019-03-30 22:30:00+00:00
-0.112291664,2019-03-30 22:45:00+00:00
-0.114819445,2019-03-30 23:00:00+00:00
-0.11788889,2019-03-30 23:15:00+00:00
-0.12533334,2019-03-30 23:30:00+00:00
-0.12840278,2019-03-30 23:45:00+00:00
-0.12599306,2019-03-31 00:00:00+00:00
-0.12454167,2019-03-31 01:15:00+00:00
-0.123166665,2019-03-31 01:30:00+00:00
-0.11840278,2019-03-31 01:45:00+00:00
-0.12308333,2019-03-31 02:00:00+00:00
-0.13152778,2019-03-31 02:15:00+00:00
-0.13620834,2019-03-31 02:30:00+00:00
-0.13688889,2019-03-31 02:45:00+00:00
-0.14166667,2019-03-31 03:00:00+00:00
-0.13943055,2019-03-31 03:15:00+00:00
-0.13358334,2019-03-31 03:30:00+00:00
-0.13531944,2019-03-31 03:45:00+00:00
-0.13893056,2019-03-31 04:00:00+00:00
-0.14066666,2019-03-31 04:15:00+00:00
-0.13831945,2019-03-31 04:30:00+00:00
-0.13615277,2019-03-31 04:45:00+00:00
-0.1372639,2019-03-31 05:00:00+00:00
-0.13284722,2019-03-31 05:15:00+00:00
-0.12943056,2019-03-31 05:30:00+00:00
-0.12975,2019-03-31 05:45:00+00:00
-0.1255,2019-03-31 06:00:00+00:00
-0.12669444,2019-03-31 06:15:00+00:00
-0.13227777,2019-03-31 06:30:00+00:00
-0.13805556,2019-03-31 06:45:00+00:00
-0.14493056,2019-03-31 07:00:00+00:00
-0.14823611,2019-03-31 07:15:00+00:00
-0.14743055,2019-03-31 07:30:00+00:00
