Datum,Windsnelheid (m/s),Windrichting (graden)
20180101.0,9.1,223.0
20180102.0,7.3,216.0
20180103.0,15.8,256.0
20180104.0,9.9,237.0
20180105.0,8.2,224.0
20180107.0,12.5,61.0
20180108.0,12.7,82.0
20180109.0,7.3,109.0
20180113.0,5.7,104.0
20180114.0,7.5,111.0
20180115.0,10.7,199.0
20180116.0,10.2,256.0
20180117.0,10.9,269.0
20180118.0,9.2,248.0
20180119.0,6.6,237.0
20180120.0,5.6,202.0
20180123.0,8.5,209.0
20180124.0,11.1,212.0
20180125.0,6.3,202.0
20180127.0,8.7,212.0
20180128.0,9.7,241.0
20180129.0,9.0,254.0
20180131.0,10.4,235.0
20180201.0,9.2,236.0
20180204.0,10.0,36.0
20180205.0,9.0,74.0
20180206.0,7.1,72.0
20180208.0,6.0,190.0
20180209.0,9.1,179.0
20180210.0,6.0,194.0
20180211.0,9.8,242.0
20180212.0,7.2,247.0
20180213.0,8.1,176.0
20180214.0,8.8,155.0
20180215.0,7.4,194.0
20180216.0,5.7,234.0
20180222.0,7.1,66.0
20180223.0,9.5,76.0
20180224.0,12.0,84.0
20180225.0,10.8,75.0
20180226.0,9.8,61.0
20180227.0,6.4,66.0
20180228.0,13.7,82.0
20180301.0,17.5,81.0
20180302.0,14.7,80.0
20180303.0,9.4,93.0
20180304.0,6.7,107.0
20180308.0,8.6,219.0
20180315.0,11.0,97.0
20180316.0,12.9,82.0
20180317.0,16.7,72.0
20180318.0,14.8,75.0
20180319.0,9.7,53.0
20180320.0,7.3,353.0
20180323.0,6.3,195.0
20180330.0,6.4,103.0
20180403.0,6.6,206.0
20180405.0,8.2,273.0
20180406.0,6.9,128.0
20180409.0,6.6,21.0
20180411.0,8.0,72.0
20180412.0,6.9,74.0
20180417.0,5.6,199.0
20180423.0,9.7,246.0
20180424.0,10.9,240.0
20180425.0,11.8,256.0
20180426.0,11.6,253.0
20180428.0,6.1,227.0
20180429.0,7.2,30.0
20180501.0,11.2,254.0
20180502.0,7.4,203.0
20180510.0,5.8,291.0
20180514.0,6.0,19.0
20180515.0,5.7,26.0
20180516.0,10.9,9.0
20180517.0,10.6,353.0
20180518.0,6.8,330.0
20180521.0,7.0,84.0
20180522.0,5.8,41.0
20180523.0,6.0,55.0
20180524.0,8.2,83.0
20180526.0,6.5,65.0
20180527.0,6.0,84.0
20180602.0,6.8,254.0
20180608.0,6.2,9.0
20180609.0,7.1,12.0
20180610.0,6.8,8.0
20180611.0,6.6,29.0
20180612.0,6.8,8.0
20180614.0,9.0,224.0
20180616.0,6.4,235.0
20180617.0,10.1,244.0
20180618.0,10.2,235.0
20180619.0,5.7,246.0
20180620.0,7.9,232.0
20180621.0,11.1,301.0
20180622.0,11.0,314.0
20180624.0,6.8,341.0
20180625.0,6.2,353.0
20180626.0,6.8,8.0
20180628.0,6.1,25.0
20180629.0,7.1,2.0
20180630.0,7.7,73.0
20180701.0,9.7,94.0
20180702.0,7.5,63.0
20180703.0,6.8,30.0
20180709.0,6.7,342.0
20180710.0,9.2,349.0
20180711.0,7.1,354.0
20180712.0,7.5,346.0
