STN,YYYYMMDD,HH,DD,FH,FF,FX
258,20180101,1,210,140,140,170
258,20180101,2,220,160,160,210
258,20180101,3,240,150,150,200
258,20180101,4,250,160,160,220
258,20180101,5,250,150,150,190
258,20180101,6,240,130,120,180
258,20180101,7,230,120,120,150
258,20180101,8,220,110,110,140
258,20180101,9,210,110,120,140
258,20180101,10,210,130,130,160
258,20180101,11,210,120,130,150
258,20180101,12,210,120,110,160
258,20180101,13,210,110,110,140
258,20180101,14,210,100,70,130
258,20180101,15,180,60,50,80
258,20180101,16,180,50,50,60
258,20180101,17,190,40,50,50
258,20180101,18,200,40,40,60
258,20180101,19,200,40,40,50
258,20180101,20,230,50,50,70
258,20180101,21,220,50,50,60
258,20180101,22,260,60,60,80
258,20180101,23,240,60,50,100
258,20180101,24,250,60,70,80
258,20180102,1,260,80,60,110
258,20180102,2,250,60,60,80
258,20180102,3,240,60,60,80
258,20180102,4,240,60,60,70
258,20180102,5,270,60,60,110
258,20180102,6,280,60,80,110
258,20180102,7,270,70,70,110
258,20180102,8,250,60,60,100
258,20180102,9,250,80,80,100
258,20180102,10,240,70,70,90
258,20180102,11,230,70,70,100
258,20180102,12,240,70,70,100
258,20180102,13,220,70,80,90
258,20180102,14,210,80,80,100
258,20180102,15,200,80,80,100
258,20180102,16,200,90,100,140
258,20180102,17,180,90,100,130
258,20180102,18,180,110,110,140
258,20180102,19,180,110,120,150
258,20180102,20,180,130,140,180
258,20180102,21,200,140,130,170
258,20180102,22,190,110,110,160
258,20180102,23,200,110,110,130
258,20180102,24,200,120,130,160
258,20180103,1,180,130,130,160
258,20180103,2,190,140,150,180
258,20180103,3,250,130,120,220
258,20180103,4,260,130,140,190
258,20180103,5,240,130,110,180
258,20180103,6,250,150,170,260
258,20180103,7,250,180,160,250
258,20180103,8,250,170,170,220
258,20180103,9,250,190,190,270
258,20180103,10,250,220,220,280
258,20180103,11,260,230,230,330
258,20180103,12,270,230,220,300
258,20180103,13,270,220,220,300
258,20180103,14,270,210,200,280
258,20180103,15,270,200,200,270
258,20180103,16,270,190,190,260
258,20180103,17,270,170,170,220
258,20180103,18,270,160,160,220
258,20180103,19,260,160,150,220
258,20180103,20,260,150,140,210
258,20180103,21,260,140,150,180
258,20180103,22,260,140,140,190
258,20180103,23,260,130,130,170
258,20180103,24,250,130,130,170
258,20180104,1,250,130,130,170
258,20180104,2,250,130,130,170
258,20180104,3,250,130,120,160
258,20180104,4,250,110,120,140
258,20180104,5,250,110,100,130
258,20180104,6,250,100,90,120
258,20180104,7,240,80,80,110
258,20180104,8,230,80,80,100
258,20180104,9,220,70,80,90
258,20180104,10,210,80,80,90
258,20180104,11,210,80,80,90
258,20180104,12,180,60,50,80
258,20180104,13,180,60,60,70
258,20180104,14,180,60,70,80
258,20180104,15,170,60,60,90
258,20180104,16,190,80,80,100
258,20180104,17,210,80,90,100
258,20180104,18,240,120,140,180
258,20180104,19,250,150,160,210
258,20180104,20,250,170,180,220
258,20180104,21,260,180,170,240
258,20180104,22,250,160,150,210
258,20180104,23,240,160,160,200
258,20180104,24,250,170,170,220
258,20180105,1,250,170,160,210
258,20180105,2,250,150,150,200
258,20180105,3,250,140,130,180
258,20180105,4,250,90,80,160
258,20180105,5,240,70,60,100
258,20180105,6,230,70,80,100
258,20180105,7,230,80,90,100
258,20180105,8,220,80,70,100
258,20180105,9,220,70,70,90
258,20180105,10,210,80,80,100
258,20180105,11,210,80,80,100
258,20180105,12,200,70,70,90
258,20180105,13,200,70,50,80
258,20180105,14,200,70,70,100
258,20180105,15,200,50,50,80
258,20180105,16,250,80,60,130
258,20180105,17,200,40,40,70
258,20180105,18,200,60,70,80
258,20180105,19,200,70,70,90
258,20180105,20,210,80,90,100
258,20180105,21,210,100,110,140
258,20180105,22,210,110,110,130
258,20180105,23,210,110,110,130
258,20180105,24,220,100,100,130
258,20180106,1,220,100,80,120
258,20180106,2,220,90,90,100
258,20180106,3,220,80,70,110
258,20180106,4,220,70,70,90
258,20180106,5,230,70,60,90
258,20180106,6,210,60,60,80
258,20180106,7,220,60,60,70
258,20180106,8,230,50,50,70
258,20180106,9,220,50,50,60
258,20180106,10,230,40,40,60
258,20180106,11,250,30,20,50
258,20180106,12,350,20,20,30
258,20180106,13,20,40,50,60
258,20180106,14,30,60,80,90
258,20180106,15,30,80,90,100
258,20180106,16,40,90,90,110
258,20180106,17,50,80,80,110
258,20180106,18,40,70,70,100
258,20180106,19,40,70,70,90
258,20180106,20,50,60,60,80
258,20180106,21,60,60,60,80
258,20180106,22,50,60,60,70
258,20180106,23,60,80,100,120
258,20180106,24,60,110,120,150
258,20180107,1,60,120,120,150
258,20180107,2,60,110,110,160
258,20180107,3,60,120,120,160
258,20180107,4,60,110,120,150
258,20180107,5,60,120,130,150
258,20180107,6,50,130,130,160
258,20180107,7,50,130,130,160
258,20180107,8,60,130,130,160
258,20180107,9,60,130,130,160
258,20180107,10,60,130,130,150
258,20180107,11,60,120,120,150
258,20180107,12,60,110,110,140
258,20180107,13,60,110,110,140
258,20180107,14,60,110,120,140
258,20180107,15,50,120,120,150
258,20180107,16,60,120,130,150
258,20180107,17,60,130,140,160
258,20180107,18,60,130,140,160
258,20180107,19,70,140,130,170
258,20180107,20,70,130,140,160
258,20180107,21,60,140,130,170
258,20180107,22,70,140,140,170
258,20180107,23,70,140,140,160
258,20180107,24,60,140,140,170
258,20180108,1,70,130,130,170
258,20180108,2,70,130,130,160
258,20180108,3,70,130,130,170
258,20180108,4,70,130,130,160
258,20180108,5,70,130,130,170
258,20180108,6,80,130,130,160
258,20180108,7,80,130,130,170
258,20180108,8,80,120,120,160
258,20180108,9,80,130,130,160
258,20180108,10,80,130,120,160
258,20180108,11,80,120,120,150
258,20180108,12,80,120,120,160
258,20180108,13,90,120,130,160
258,20180108,14,80,130,140,170
258,20180108,15,80,130,130,170
258,20180108,16,80,120,120,160
258,20180108,17,80,130,140,180
258,20180108,18,90,140,140,170
258,20180108,19,90,140,140,180
258,20180108,20,90,130,130,170
258,20180108,21,90,130,130,160
