ms (since 1970-01-01 00:00:00),YYYYMMDD,HH,DD,FH,FF,FX
1553904000000,20190329,24,100,30,40,40
1553907600000,20190330,1,100,30,30,40
1553911200000,20190330,2,110,20,20,30
1553914800000,20190330,3,110,30,20,30
1553918400000,20190330,4,120,20,20,30
1553922000000,20190330,5,150,30,30,40
1553925600000,20190330,6,180,30,20,40
1553929200000,20190330,7,210,30,30,40
1553932800000,20190330,8,200,30,30,40
1553936400000,20190330,9,220,30,30,40
1553940000000,20190330,10,230,30,30,40
1553943600000,20190330,11,220,30,20,40
1553947200000,20190330,12,230,30,20,40
1553950800000,20190330,13,990,20,10,30
1553954400000,20190330,14,360,20,30,30
1553958000000,20190330,15,20,30,30,60
1553961600000,20190330,16,10,40,40,60
1553965200000,20190330,17,360,40,40,70
1553968800000,20190330,18,360,50,40,70
1553972400000,20190330,19,350,30,30,50
1553976000000,20190330,20,350,40,40,70
1553979600000,20190330,21,350,40,40,50
1553983200000,20190330,22,20,60,70,80
1553986800000,20190330,23,20,60,50,80
1553990400000,20190330,24,30,50,50,70
1553994000000,20190331,1,20,70,80,90
1553997600000,20190331,2,30,90,90,110
1554001200000,20190331,3,30,90,90,100
1554004800000,20190331,4,30,70,70,90
1554008400000,20190331,5,40,70,80,100
1554012000000,20190331,6,30,90,90,110
1554015600000,20190331,7,40,90,90,110
1554019200000,20190331,8,50,90,80,110
1554022800000,20190331,9,50,90,90,100
1554026400000,20190331,10,40,80,70,100
1554030000000,20190331,11,40,70,70,90
1554033600000,20190331,12,40,80,80,90
1554037200000,20190331,13,30,80,80,90
1554040800000,20190331,14,30,80,80,100
1554044400000,20190331,15,30,90,100,110
1554048000000,20190331,16,40,110,110,140
1554051600000,20190331,17,50,110,120,140
1554055200000,20190331,18,50,110,110,140
1554058800000,20190331,19,50,120,120,140
1554062400000,20190331,20,60,130,130,150
1554066000000,20190331,21,60,120,120,150
1554069600000,20190331,22,60,120,120,140
1554073200000,20190331,23,70,110,110,140
1554076800000,20190331,24,70,100,100,130
1554080400000,20190401,1,70,100,100,130
1554084000000,20190401,2,70,100,110,130
1554087600000,20190401,3,70,110,100,140
1554091200000,20190401,4,70,100,100,130
1554094800000,20190401,5,70,100,100,120
1554098400000,20190401,6,70,100,100,120
1554102000000,20190401,7,80,100,90,120
1554105600000,20190401,8,90,80,80,100
1554109200000,20190401,9,90,70,70,90
1554112800000,20190401,10,90,70,70,90
1554116400000,20190401,11,90,70,70,90
1554120000000,20190401,12,90,70,80,90
1554123600000,20190401,13,90,70,70,90
1554127200000,20190401,14,90,70,70,80
1554130800000,20190401,15,90,60,70,80
1554134400000,20190401,16,90,60,60,70
1554138000000,20190401,17,90,60,60,70
1554141600000,20190401,18,90,60,60,70
1554145200000,20190401,19,90,60,60,70
1554148800000,20190401,20,90,60,60,70
1554152400000,20190401,21,90,60,60,70
1554156000000,20190401,22,100,60,60,70
1554159600000,20190401,23,110,60,60,70
1554163200000,20190401,24,110,70,60,80
1554166800000,20190402,1,120,70,60,80
1554170400000,20190402,2,120,60,60,70
1554174000000,20190402,3,120,60,60,70
1554177600000,20190402,4,130,60,60,80
1554181200000,20190402,5,140,70,70,80
1554184800000,20190402,6,130,70,70,80
1554188400000,20190402,7,140,70,60,80
1554192000000,20190402,8,140,60,60,70
1554195600000,20190402,9,130,50,50,60
1554199200000,20190402,10,130,60,50,70
1554202800000,20190402,11,150,60,40,80
1554206400000,20190402,12,220,50,40,90
1554210000000,20190402,13,220,50,60,80
1554213600000,20190402,14,220,70,70,100
1554217200000,20190402,15,180,60,60,80
1554220800000,20190402,16,160,60,80,90
1554224400000,20190402,17,240,70,110,130
1554228000000,20190402,18,200,90,40,150
1554231600000,20190402,19,180,40,50,60
1554235200000,20190402,20,160,60,70,80
1554238800000,20190402,21,190,80,80,100
1554242400000,20190402,22,210,80,90,110
1554246000000,20190402,23,230,90,90,130
1554249600000,20190402,24,220,100,100,120
1554253200000,20190403,1,220,100,100,130
1554256800000,20190403,2,230,90,90,110
1554260400000,20190403,3,230,70,70,110
1554264000000,20190403,4,220,80,80,100
1554267600000,20190403,5,210,80,70,100
1554271200000,20190403,6,200,70,60,90
1554274800000,20190403,7,190,50,60,70
1554278400000,20190403,8,180,60,60,70
1554282000000,20190403,9,160,60,50,70
1554285600000,20190403,10,150,50,50,60
1554289200000,20190403,11,160,50,60,70
1554292800000,20190403,12,120,60,60,80
1554296400000,20190403,13,140,70,70,90
1554300000000,20190403,14,140,70,70,90
1554303600000,20190403,15,240,70,60,110
1554307200000,20190403,16,240,40,20,70
1554310800000,20190403,17,90,10,10,20
1554314400000,20190403,18,60,30,40,50
1554318000000,20190403,19,210,40,50,70
1554321600000,20190403,20,130,20,30,60
1554325200000,20190403,21,130,50,60,70
1554328800000,20190403,22,170,60,50,70
1554332400000,20190403,23,170,50,40,60
1554336000000,20190403,24,190,60,60,70
1554339600000,20190404,1,190,60,60,70
1554343200000,20190404,2,190,60,60,70
1554346800000,20190404,3,200,60,60,70
1554350400000,20190404,4,190,60,50,70
1554354000000,20190404,5,190,50,50,70
1554357600000,20190404,6,190,40,30,70
1554361200000,20190404,7,180,30,20,40
1554364800000,20190404,8,180,30,30,40
1554368400000,20190404,9,170,40,40,50
1554372000000,20190404,10,150,30,20,60
1554375600000,20190404,11,150,20,20,30
1554379200000,20190404,12,90,20,20,40
1554382800000,20190404,13,90,30,30,50
1554386400000,20190404,14,100,50,60,70
1554390000000,20190404,15,120,60,50,70
1554393600000,20190404,16,130,50,50,70
1554397200000,20190404,17,130,60,60,70
1554400800000,20190404,18,120,60,70,80
1554404400000,20190404,19,110,70,70,80
1554408000000,20190404,20,110,70,60,80
1554411600000,20190404,21,130,60,60,70
1554415200000,20190404,22,120,60,60,70
1554418800000,20190404,23,120,50,50,70
1554422400000,20190404,24,120,50,40,70
1554426000000,20190405,1,140,40,30,50
1554429600000,20190405,2,150,30,30,40
1554433200000,20190405,3,130,30,30,40
1554436800000,20190405,4,140,30,30,40
1554440400000,20190405,5,90,40,40,60
1554444000000,20190405,6,100,40,40,50
1554447600000,20190405,7,110,30,20,50
1554451200000,20190405,8,110,20,20,40
1554454800000,20190405,9,80,20,30,30
1554458400000,20190405,10,50,20,10,30
1554462000000,20190405,11,10,20,20,30
1554465600000,20190405,12,20,30,40,60
1554469200000,20190405,13,340,40,50,60
1554472800000,20190405,14,340,40,40,70
1554476400000,20190405,15,360,50,70,70
1554480000000,20190405,16,40,60,70,70
1554483600000,20190405,17,40,70,70,80
1554487200000,20190405,18,50,70,60,80
1554490800000,20190405,19,60,60,70,70
1554494400000,20190405,20,60,60,60,70
1554498000000,20190405,21,50,60,60,70
1554501600000,20190405,22,60,50,50,70
1554505200000,20190405,23,70,60,60,70
1554508800000,20190405,24,60,60,60,70
1554512400000,20190406,1,50,60,70,70
1554516000000,20190406,2,50,60,60,80
1554519600000,20190406,3,70,60,70,70
1554523200000,20190406,4,80,60,60,80
1554526800000,20190406,5,80,60,60,80
1554530400000,20190406,6,70,70,70,80
1554534000000,20190406,7,80,70,70,90
1554537600000,20190406,8,80,70,60,80
1554541200000,20190406,9,80,70,60,80
1554544800000,20190406,10,90,70,70,80
1554548400000,20190406,11,90,60,60,70
1554552000000,20190406,12,80,50,50,70
1554555600000,20190406,13,70,40,40,70
1554559200000,20190406,14,50,40,30,50
1554562800000,20190406,15,50,40,30,40
1554566400000,20190406,16,70,50,50,70
1554570000000,20190406,17,80,60,70,70
1554573600000,20190406,18,70,60,60,70
1554577200000,20190406,19,60,60,60,70
1554580800000,20190406,20,50,50,40,70
1554584400000,20190406,21,50,60,60,70
1554588000000,20190406,22,40,60,70,80
1554591600000,20190406,23,40,70,70,80
1554595200000,20190406,24,40,70,70,80
1554598800000,20190407,1,40,70,70,80
1554602400000,20190407,2,50,70,70,80
1554606000000,20190407,3,60,70,60,70
1554609600000,20190407,4,60,60,50,70
1554613200000,20190407,5,60,40,40,60
1554616800000,20190407,6,60,50,60,70
1554620400000,20190407,7,70,60,60,70
1554624000000,20190407,8,70,60,60,70
1554627600000,20190407,9,60,50,60,70
1554631200000,20190407,10,60,60,50,70
1554634800000,20190407,11,70,50,40,70
1554638400000,20190407,12,80,50,60,70
1554642000000,20190407,13,80,60,60,70
1554645600000,20190407,14,100,60,50,70
1554649200000,20190407,15,70,40,50,70
1554652800000,20190407,16,40,60,50,70
1554656400000,20190407,17,60,60,50,70
1554660000000,20190407,18,60,60,60,70
1554663600000,20190407,19,60,60,60,70
1554667200000,20190407,20,40,70,70,80
1554670800000,20190407,21,50,70,70,80
1554674400000,20190407,22,50,70,70,80
1554678000000,20190407,23,50,70,70,70
1554681600000,20190407,24,50,60,60,70
1554685200000,20190408,1,60,60,60,70
1554688800000,20190408,2,60,60,60,70
1554692400000,20190408,3,60,60,60,70
1554696000000,20190408,4,70,60,60,70
1554699600000,20190408,5,70,50,50,70
1554703200000,20190408,6,80,50,50,70
1554706800000,20190408,7,60,40,40,60
1554710400000,20190408,8,60,40,30,60
1554714000000,20190408,9,40,30,30,40
1554717600000,20190408,10,40,50,60,70
1554721200000,20190408,11,30,50,50,70
1554724800000,20190408,12,30,60,60,70
1554728400000,20190408,13,30,60,50,70
1554732000000,20190408,14,30,60,60,70
1554735600000,20190408,15,30,70,80,90
1554739200000,20190408,16,30,90,100,110
1554742800000,20190408,17,30,90,90,110
1554746400000,20190408,18,30,90,90,110
1554750000000,20190408,19,40,90,90,110
1554753600000,20190408,20,50,80,80,100
1554757200000,20190408,21,60,100,100,120
1554760800000,20190408,22,60,90,100,110
1554764400000,20190408,23,60,100,110,120
1554768000000,20190408,24,70,110,110,130
1554771600000,20190409,1,70,110,110,130
1554775200000,20190409,2,70,110,110,130
1554778800000,20190409,3,70,100,100,130
1554782400000,20190409,4,60,110,110,130
1554786000000,20190409,5,60,110,110,130
1554789600000,20190409,6,70,110,110,140
1554793200000,20190409,7,60,110,110,140
1554796800000,20190409,8,70,120,130,150
1554800400000,20190409,9,70,120,120,150
1554804000000,20190409,10,80,120,110,150
1554807600000,20190409,11,70,100,100,140
1554811200000,20190409,12,70,100,100,130
1554814800000,20190409,13,70,100,100,120
1554818400000,20190409,14,70,100,100,120
1554822000000,20190409,15,70,90,90,110
1554825600000,20190409,16,60,90,90,120
1554829200000,20190409,17,50,90,90,120
1554832800000,20190409,18,50,120,120,140
1554836400000,20190409,19,40,130,130,150
1554840000000,20190409,20,50,130,130,160
1554843600000,20190409,21,50,140,130,160
1554847200000,20190409,22,60,130,130,150
1554850800000,20190409,23,60,130,120,150
1554854400000,20190409,24,60,120,120,150
1554858000000,20190410,1,70,120,130,150
1554861600000,20190410,2,70,120,120,140
1554865200000,20190410,3,70,110,110,140
1554868800000,20190410,4,60,110,120,140
1554872400000,20190410,5,60,120,120,140
1554876000000,20190410,6,60,120,110,150
1554879600000,20190410,7,60,120,130,150
1554883200000,20190410,8,60,130,120,160
1554886800000,20190410,9,60,110,100,160
1554890400000,20190410,10,50,90,90,130
1554894000000,20190410,11,50,80,80,110
1554897600000,20190410,12,40,80,90,110
1554901200000,20190410,13,40,90,90,110
1554904800000,20190410,14,40,90,100,120
1554908400000,20190410,15,30,110,120,140
1554912000000,20190410,16,30,140,130,170
1554915600000,20190410,17,30,130,120,160
1554919200000,20190410,18,50,110,110,150
1554922800000,20190410,19,50,110,110,140
1554926400000,20190410,20,50,120,120,150
1554930000000,20190410,21,50,110,110,140
1554933600000,20190410,22,50,110,110,140
1554937200000,20190410,23,50,110,110,130
1554940800000,20190410,24,50,110,110,130
1554944400000,20190411,1,50,110,110,130
1554948000000,20190411,2,50,110,100,130
1554951600000,20190411,3,50,110,100,130
1554955200000,20190411,4,60,100,100,120
1554958800000,20190411,5,60,100,100,110
1554962400000,20190411,6,60,90,90,110
1554966000000,20190411,7,60,90,100,110
1554969600000,20190411,8,50,90,90,110
1554973200000,20190411,9,50,80,80,100
1554976800000,20190411,10,40,70,70,100
1554980400000,20190411,11,40,70,70,90
1554984000000,20190411,12,30,70,70,90
1554987600000,20190411,13,40,70,60,90
1554991200000,20190411,14,70,50,70,80
1554994800000,20190411,15,40,50,40,80
1554998400000,20190411,16,30,80,100,110
1555002000000,20190411,17,40,110,110,130
1555005600000,20190411,18,50,110,120,150
1555009200000,20190411,19,50,120,120,140
1555012800000,20190411,20,50,110,110,150
1555016400000,20190411,21,60,110,110,130
1555020000000,20190411,22,60,100,100,120
1555023600000,20190411,23,60,90,90,110
1555027200000,20190411,24,60,80,80,100
1555030800000,20190412,1,60,80,70,100
1555034400000,20190412,2,70,80,80,90
1555038000000,20190412,3,90,80,80,100
1555041600000,20190412,4,70,80,70,100
1555045200000,20190412,5,70,70,70,90
1555048800000,20190412,6,70,80,80,90
1555052400000,20190412,7,70,70,80,90
1555056000000,20190412,8,70,80,70,90
1555059600000,20190412,9,70,70,60,80
1555063200000,20190412,10,60,50,50,70
1555066800000,20190412,11,40,60,50,70
1555070400000,20190412,12,40,70,80,90
1555074000000,20190412,13,40,70,80,90
1555077600000,20190412,14,60,80,70,110
1555081200000,20190412,15,80,80,90,110
1555084800000,20190412,16,70,80,80,100
1555088400000,20190412,17,60,70,70,90
1555092000000,20190412,18,50,80,70,100
1555095600000,20190412,19,70,80,80,100
